,sub_id,size1_contra,size3_contra,size6_contra,size1_ipsi,size3_ipsi,size6_ipsi
0,1,-2.402334791254114,-4.155061506093726,-3.5199011403813563,-2.1560887898365224,-3.815486668977883,-4.125180591515554
1,2,-2.3057849858959374,-2.2481570899084264,-2.384517376541676,-2.1422867386519457,-2.222200392633545,-2.2814138756670523
2,3,-1.3419979981869288,-1.44991251705733,-1.5040074294216033,-1.1627067685229608,-1.6011247406718079,-1.5641153136221282
3,4,-2.852069995146937,-5.163031783196866,-5.788713687961891,-3.1923275171641143,-4.6457803917820275,-5.160584159034588
4,5,-0.4764231499295757,-0.23045647724483592,-0.294396223766779,-0.38506593153339114,-0.34302674769111463,-0.27961596675844314
5,6,0.20908930322122635,-3.288524939956223,-3.800594825687183,-0.6652364526452375,-2.2744124484024217,-2.509006328449016
6,7,-0.6197805787882835,-0.8166571277150241,-0.861155165566154,-0.47156071240183906,-0.9105562723981399,-0.9440751230981083
7,8,-1.0137159030191003,-2.3706518905167044,-3.61108492993655,-1.5404573505109143,-2.1274168398329434,-2.484991069730126
8,9,-0.7583321895132924,-1.736968304120252,-1.4554123071488199,0.15838955558765871,-0.8505230532426373,-1.1067454557758607
9,10,-0.8934220721332284,-0.7660955269034581,-0.6829879294602735,-0.6100282579483274,-0.7590336285945204,-0.5402636545186631
10,11,-3.5293638834086978,-3.0153302540564573,-3.104780854406998,-3.0436938924088826,-2.383970314616519,-2.412518167921384
11,12,-2.2392999711009063,-2.852725821034758,-2.7362825644451636,-2.4799342913562072,-2.7476438760260615,-2.7811962797811427
12,13,-1.2172573481493216,-1.07160116952504,-1.0713190183052528,-1.4950541139996658,-0.7900968970104054,-1.6843437448171252
13,14,-1.2671559993182513,-0.6396225603506506,-1.8058499380348738,-1.7719693916882793,-0.04362604517897838,-1.4728163928904427
14,15,-0.6851302342487323,-1.9360194532529724,-1.5753502128927017,-1.2972979571294967,-1.6903445624935143,-1.3319339361356586
15,16,-4.652056197750027,-4.131908661549439,-5.29292853908211,-3.990954986033678,-3.692335014069429,-4.591238677213503
16,17,-0.4734616153356481,-0.24682791165474843,-0.26791727749429817,-0.6401953745079974,0.22158378794125438,0.09606776730792055
17,18,0.11881587029911594,0.20329139568227766,0.39433194320980214,0.1949275358133105,1.1333598693733384,1.1877143448564902
18,19,1.1701846883024762,0.571666869468927,-0.229028332765429,2.29595682390481,1.8863064683411668,1.5994282125177341
19,20,-1.7563662475446449,-1.4960472790362873,-1.6570132128967858,-1.3303460386724435,-1.6063018349398177,-1.588936085091931
20,21,-4.510507821209344,-6.0081013328816,-7.371773219581913,-4.45789315348787,-7.024724122184463,-7.777127785155526
21,22,-2.494151397717515,-4.293180386671985,-3.97701746274871,-2.2388377758819824,-3.4135354989889968,-2.931091139798184
22,23,-0.2623990265065591,-0.6095064349638569,-1.1811343052275363,-0.047418817064200904,-0.17138233240223963,-0.4845563807887315
23,24,0.17835968475555378,-0.11710666237585418,-0.30355494439245645,0.4107043976346307,-0.0356170638828949,-0.14751208660526113
24,25,0.09069102701008475,0.35569163176324836,-0.12354166362222553,0.0829671769816157,0.3195524233352229,-0.14390138749966436
25,26,-1.0529059025150382,-1.2775239010952106,-1.4682118229262549,-0.36203130642281495,-0.7783109151492359,-1.2202353642548103
26,27,-0.5974447596231351,-0.05788642545151933,-0.27393378149241393,-0.44945311934417204,0.4456850728717104,-0.09166834851742893
