,sub_id,size_1,size_3,size_6
0,1,-0.6814951235784394,-1.1614408769179796,-0.7290456309942273
1,2,-0.7390714114197898,-0.5497628323976026,-0.5572025832891548
2,3,-0.8451736542122605,-1.3501811212550519,-0.974508089364265
3,4,-0.8450501486502775,-0.4537417064000716,-0.7105807866452949
4,5,-0.08056110131683411,-0.09351410999035019,-0.1704238155582245
5,6,-0.3719058931840701,-0.6192151645356179,-0.6549233199829019
6,7,0.04091524979251379,0.779941827957984,0.6072835107706186
7,8,-0.17866637870813334,-0.03133217613298821,-0.031250525472242094
8,9,-0.37818916183484397,-1.0087662966858995,-0.19581521177968242
9,10,-0.3735680659778555,-0.14167770002397867,-0.3475748747489962
10,11,-1.6942932656772398,-1.7330105213841733,-1.5966259658840611
11,12,-0.4958236717286558,-0.5288643209390197,-0.6429469662553746
12,13,-0.14630465682856925,0.06006711597430338,0.01572512142172177
13,14,-0.35171652599211845,-0.468814721369503,-0.25158790340964077
14,15,0.2613226328210057,0.011327193574767802,0.1348201616283272
15,16,-0.8432647649400418,-0.7423880785399634,-0.9115874833192537
16,17,0.31810305674836103,-0.20750665955593964,0.82921879176307
17,18,0.13708013381541917,0.203637630537776,0.19902593730792056
18,19,-0.113346530264484,-0.05276884898729063,-0.21334918770661132
19,20,-0.07767970644503103,0.0814428887380799,-0.378847956214473
20,21,-0.6635291218366185,-0.15058446829261918,-1.8373350388630032
21,22,-0.45455404291015455,-0.47922431867115284,-0.5576959989180491
22,23,-0.021534544489459562,0.03716972676919857,-0.38898508467362847
23,24,0.16535894177761587,0.15185565554191383,0.02720902917288769
24,25,-0.011796119299378795,-0.16653978918790907,-0.15487751324377808
25,26,-0.3027617328680742,-0.4585598185455973,-0.2536611200666645
26,27,-0.8465927979543734,-0.6922190016514489,-0.8918669699950902
